statename,distname,latitude,longitude,year,dswrf_avg_may_oct,pevpr_avg_may_oct,rhum_avg_may_oct,soilw_avg_may_oct,spei_avg_may_oct,tcdc_avg_may_oct,tmax_avg_may_oct,tmax_max_may_oct,tmin_avg_may_oct,tmin_min_may_oct,wspd_avg_may_oct,rainfall_sum_may_oct,rainfall_seasonal_anomaly,rainfall_iav,RICE_YIELD_Kgperha
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1966,253.216591666667,389.465986666667,74.8176455,0.237427737333333,0.354209504166667,58.699909,306.35,316.05,295.681666666667,291.96,2.72501121666667,531.889465622604,-10.2158531755424,,1244.9
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1967,247.183266666667,368.356651666667,74.8013916666667,0.250672013333333,-0.027491975,62.0333256666667,305.448333333333,315.71,295.571666666667,292.28,2.99334206666667,550.182227283716,-7.12799356380223,3.43920360214311,1367.35
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1968,258.58325,419.052898333333,72.7092993333333,0.229446134166667,-0.0371509083333333,60.0832923333333,306.516663333333,315.69,295.683333333333,293.12,3.11501565,302.510704390705,-48.9355077427748,-45.0162710845425,1142.28
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1969,248.316608333333,401.689928333333,73.7430148333333,0.232757573333333,0.171343717666667,60.5333253333333,306.304993333333,314.66998,295.806666666667,292.83002,3.0733439,336.708445608616,-43.1628515481655,11.3046383885125,1191.09
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1970,250.166583333333,372.377996666667,76.7991151666667,0.239482693333333,0.231457067833333,62.31665,305.763336666667,316,295.883333333333,292.18,2.88668311666667,639.383368372917,7.92936114256935,89.8922871439125,1364.72
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1971,232.399983333333,332.869323333333,78.7889003333333,0.262927251666667,-0.241546271666667,67.233317,304.233336666667,313.9,295.42833,292.87,2.76334126666667,437.702572822571,-26.1148140662208,-31.543015587593,1435.8
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1972,260.6333,418.528281666667,70.3271828333333,0.224839765,-0.375333608333333,60.4499506666667,306.906663333333,315.09,295.58334,293.65,2.81667581666667,436.965849071741,-26.2391747044526,-0.168316065879814,1296.15
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1973,257.916666666667,377.98844,76.4732491666667,0.247351762333333,-0.0291769449999999,56.8166506666667,305.69499,317.97998,295.706663333333,293.41998,3.0633443,645.753112301231,9.00458834870405,47.7811398014335,1713.87
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1974,250.916583333333,407.653535,76.0887948333333,0.239195786666667,0.36969739,59.9333086666667,305.300003333333,313.44,295.416663333333,292.61,3.05834451666667,725.818970195949,22.5198865553171,12.3988342246455,1550
Andhra Pradesh,Kurnool,15.5351275,78.00681861,1975,240.499916666667,347.558291666667,77.5009966666667,0.260041583333333,0.763077198333333,65.8499333333333,304.83667,316.39,295.954996666667,294,2.84000658333333,772.225826174021,30.3534689819204,6.39372321248966,1527.47
