Feature,VIF
rhum_avg_may_oct,1.7472443018826023
spei_avg_may_oct,2.2256365255745627
tmax_max_may_oct,1.3802359138808835
tmin_avg_may_oct,2.6412179683802743
tmin_min_may_oct,1.9813798886743608
wspd_avg_may_oct,1.4455145253080943
rainfall_sum_may_oct,2.6553277469836294
rainfall_iav,2.1468418041796453
year,1.7138148950937844
